0,,Free,Name,Jumpdoc,Chapter,Description
66,,100,Skíðblaðnir,Germanic/Norse Mythology Jump,Domain,"Marvels of engineering, a glorious ship capable of carrying you and your whole clan in luxury for war unfolding to be as big as is needed. This ship can fold into a thin wood block able to fit in a pocket, and be thrown out to unfurl itself, there are no limits to its weight and plunder, and it can glide like a misty ghost across land and sea as if it always had a favorable wind."
67,,100,An Asteroid,With This Ring,Domain,"Or rather, all the precious metals that could be harvested from an
Asteroid of medium size. This includes enough gold to comfortably live on for five years, as well
as copper, iron, platinum, cobalt, titanium, tungsten, and other metals and radioactive
materials in varying amounts. You receive a comparable amount of precious and mundane
metals at the beginning of each jump."
68,,100,Luxury Prison Cell,DC Comics,Domain,"Your captors might be unrepetant terrorists, but at least they know how to treat you right. This item behaves a little differently than most. Instead of carrying it with you, you’ll find it
around you whenever you wind up captured. This cell is extremely cozy and comfortable, more
akin to a small apartment or five-star hotel room than a holding cell for prisoners. It comes with
a bed, fluffed pillow, and a pristine toilet, and the temperature and moisture levels are never far
from your ideal. You can even turn off the visibility on the energy wall for some privacy to relieve
yourself or make your escape."
69,,100,Weapon Cache,DC Comics,Domain,"Guns and a few crates’ worth of ammunition. Knives and bags of grenades. Whatever you’ve
got exactly, it’s a large closet’s worth of mundane weapons that can be found on Earth’s modern
era. And the cincher is for you at least, it’s all above board and legally owned by you. Anything
used up replenishes in a week."
70,,100,Collateral,Worm CYOA v17,Domain,"You can imbue an All-or-Nothing effect into 1000 feet of your surroundings that makes it completely impossible to alter or effect. It's immune to everything you do to it except for sting. This doesn't affect anything small enough to be held by hand, and things like cars still work. You just can't move it or damage it in ways that don't make sense for a car."
71,,100,Seeing Double,Worm CYOA v17,Domain,"You can teleport anywhere in your line of sight. You leave behind a clone of yourself that has all of your personal equipment and powers besides Seeing Double when you teleport. These clones will crumble into dust after 30 seconds, or they are killed. You can control your clones as if they were all a part of a hive mind."
72,,100,Position Control,Worm CYOA v17,Domain,You can switch the location of any two people as long as the difference in mass is no larger than 50% that of the larger of the two. They must be within one kilometer of you.
73,,100,Jigokuchō Garden,Bleach,Domain,"Jigokuchō, also known as Hell Butterflies, are a type of spirit being resembling black butterflies. These insects are used by the Shinigami for two important purposes. The first is as an escort, allowing them to use the Dangai, which is a gate that allows for travel between Soul Society and the
human world. The second is as messengers; near undetectable owing to their low levels of reiatsu, hell butterflies are able to transport incredibly important and covert messages between worlds. Upon purchase, you will receive a small garden where Jigokuchō reproduce at a consistent rate, with
any one of them able to be commanded for whatever tasks you may have for them. They also make
for surprisingly affectionate pets, despite being bugs."
74,,100,Magical Herb Garden,The Witcher Novels,Domain,"Not all magical reagents can be simply plucked from items around some of them take ages to mature fully before you are able to sue them in the spells you need. With this you get a garden full to the brim with magical herbs useful in spells, enchantments, potions, tinctures, poisons and more. This garden has a mixture covering the most important plants , and is 10’ x 10’ large. While the plants in the gardens do not grow faster than normal they do regrow once picked in the same spot. Finally as this is an enchanted garden you do not even need a green thumb, the garden automatically maintains itself in order to grow everything perfectly. You may purchase this additional times, with each addition costing 50 cp (unaffected by discounts) and enlarging the garden by another 10’ x 10’ plot. "
75,,100,Guild House,Bofuri,Domain ,"It might not be a tree, but it is a useful base for operations. It has space for all your guild members to stay comfortably, as well as some workshop areas for crafting. Some treasures you find can be placed in here to boost all guild members. Guild members can also teleport back to it if they’re not in a fight.

In future Jumps, this can either remain attached to the warehouse, or be imported into the setting as a Property."
